College,Branch,Year,University,Category,Percentile
COEP,Computer Engineering,2023,Pune University,GOPENS,99.5500243
COEP,Computer Engineering,2023,Pune University,TFWS,99.2143659
COEP,Computer Engineering,2023,Pune University,EWS,99.1558828
COEP,Computer Engineering,2023,Pune University,GOBCS,99.256284
COEP,Information Technology ,2023,Pune University,GOPENS,99.6445941
COEP,Information Technology ,2023,Pune University,TFWS,99.6756932
COEP,Information Technology ,2023,Pune University,EWS,99.5044859
COEP,Information Technology ,2023,Pune University,GOBC,99.5078483
COEP,Mechanical Engineering,2023,Pune University,GOPENS,98.85
COEP,Mechanical Engineering,2023,Pune University,TFWS,98.62
COEP,Mechanical Engineering,2023,Pune University,EWS,98.07
COEP,Mechanical Engineering,2023,Pune University,GOBCS,98.15
COEP,Elecrical Engineering,2023,Pune University,GOPENS,99.28
COEP,Elecrical Engineering,2023,Pune University,TFWS,99.25
COEP,Elecrical Engineering,2023,Pune University,EWS,98.95
COEP,Elecrical Engineering,2023,Pune University,GOBCS,99.09
PICT,Computer Engineering,2023,Pune University,GOPENS,99.68
PICT,Computer Engineering,2023,Pune University,TFWS,99.69
PICT,Computer Engineering,2023,Pune University,EWS,99.43
PICT,Computer Engineering,2023,Pune University,GOBCS,99.36
PICT,Information Technology ,2023,Pune University,GOPENS,99.3
PICT,Information Technology ,2023,Pune University,TFWS,99.52
PICT,Information Technology ,2023,Pune University,EWS,99.22
PICT,Information Technology ,2023,Pune University,GOBCS,99.14
PICT,Mechanical Engineering,2023,Pune University,GOPENS,98.12
PICT,Mechanical Engineering,2023,Pune University,TFWS,98.45
PICT,Mechanical Engineering,2023,Pune University,EWS,98.16
PICT,Mechanical Engineering,2023,Pune University,GOBCS,98
PICT,Elecrical Engineering,2023,Pune University,GOPENS,98.46
PICT,Elecrical Engineering,2023,Pune University,TFWS,98.56
PICT,Elecrical Engineering,2023,Pune University,EWS,98.12
PICT,Elecrical Engineering,2023,Pune University,GOBCS,98
PCCOE,Computer Engineering,2023,Pune University,GOPENS,98.54
PCCOE,Computer Engineering,2023,Pune University,TFWS,98.98
PCCOE,Computer Engineering,2023,Pune University,EWS,98.42
PCCOE,Computer Engineering,2023,Pune University,GOBCS,98.39
PCCOE,Information Technology ,2023,Pune University,GOPENS,98.22
PCCOE,Information Technology ,2023,Pune University,TFWS,98.7
PCCOE,Information Technology ,2023,Pune University,EWS,98.2
PCCOE,Information Technology ,2023,Pune University,GOBCS,98.07
PCCOE,Mechanical Engineering,2023,Pune University,GOPENS,89.95
PCCOE,Mechanical Engineering,2023,Pune University,TFWS,92.61
PCCOE,Mechanical Engineering,2023,Pune University,EWS,87.02
PCCOE,Mechanical Engineering,2023,Pune University,GOBCS,87.43
PCCOE,Elecrical Engineering,2023,Pune University,GOPENS,93.56
PCCOE,Elecrical Engineering,2023,Pune University,TFWS,65
PCCOE,Elecrical Engineering,2023,Pune University,EWS,92.12
PCCOE,Elecrical Engineering,2023,Pune University,GOBCS,92
VIT,Computer Engineering,2023,Pune University,GOPENS,99.03
VIT,Computer Engineering,2023,Pune University,TFWS,99.18
VIT,Computer Engineering,2023,Pune University,EWS,98.78
VIT,Computer Engineering,2023,Pune University,GOBCS,98.9
VIT,Information Technology ,2023,Pune University,GOPENS,98.98
VIT,Information Technology ,2023,Pune University,TFWS,98.88
VIT,Information Technology ,2023,Pune University,EWS,98.44
VIT,Information Technology ,2023,Pune University,GOBCS,98.52
VIT,Mechanical Engineering,2023,Pune University,GOPENS,92.54
VIT,Mechanical Engineering,2023,Pune University,TFWS,95.27
VIT,Mechanical Engineering,2023,Pune University,EWS,94
VIT,Mechanical Engineering,2023,Pune University,GOBCS,90.12
VIT,Elecrical Engineering,2023,Pune University,GOPENS,93
VIT,Elecrical Engineering,2023,Pune University,TFWS,34.45
VIT,Elecrical Engineering,2023,Pune University,EWS,92.54
